sliceId; general/brand; general/type; general/doors; general/energyConsumption; general/units/energy; general/serviceIntervals; general/isElectric; general/meta; technical/dimensions/height; technical/dimensions/length; technical/dimensions/width; technical/engine; technical/transmission; technical/gears; technical/repairedByWorkshop; color/sides; color/roof; color/highlights;
VIN13; Lexus; RX; 5; 9.5; L/100km; 15000,30000,45000,60000; false; Luxury SUV; 1695; 4890; 1895; 3.5L V6; Automatic; 8; true; White; Gray; Chrome;
VIN14; Chevrolet; Malibu; 4; 7.6; L/100km; 10000,20000,30000,40000; false; Mid-size sedan; 1442; 4923; 1854; 1.5T I4; CVT; 1; true; Black; Black; Silver;
VIN15; Kia; Sportage; 5; 8.9; L/100km; 12000,24000,36000,48000; false; Compact SUV; 1645; 4515; 1855; 2.4L I4; Automatic; 6; true; Blue; Black; Chrome;
VIN16; Acura; TLX; 4; 8.3; L/100km; 12000,24000,36000,48000; false; Sports sedan; 1436; 4833; 1854; 2.0T I4; Automatic; 10; true; Silver; Black; Red;
VIN17; Infiniti; Q50; 4; 9.2; L/100km; 12000,24000,36000,48000; false; Luxury sedan; 1445; 4810; 1820; 3.0T V6; Automatic; 7; true; Gray; Black; Silver;
VIN18; Volvo; XC90; 7; 10.1; L/100km; 15000,30000,45000,60000; false; Large SUV; 1776; 4950; 2008; 2.0T I4; Automatic; 8; true; White; Silver; Chrome;
VIN19; Porsche; 911; 2; 10.7; L/100km; 20000,40000,60000,80000; false; Sports car; 1303; 4519; 1852; 3.0T H6; Manual; 7; true; Red; Black; Yellow;
VIN20; Jaguar; XF; 4; 9.4; L/100km; 15000,30000,45000,60000; false; Luxury sedan; 1457; 4954; 1880; 2.0T I4; Automatic; 8; true; Black; Black; Chrome;
VIN21; Tesla; Model Y; 5; 16.8; kWh/100km; 20000,40000,60000,80000; true; Electric SUV; 1624; 4751; 1921; Electric Motor; Single Speed; 1; true; Blue; Black; Silver;
VIN22; Cadillac; Escalade; 7; 14.2; L/100km; 15000,30000,45000,60000; false; Full-size SUV; 1890; 5382; 2065; 6.2L V8; Automatic; 10; true; Black; Black; Chrome;
VIN23; Genesis; G90; 4; 10.8; L/100km; 15000,30000,45000,60000; false; Luxury sedan; 1495; 5205; 1915; 3.3T V6; Automatic; 8; true; White; Black; Silver;
VIN24; Lincoln; Navigator; 7; 13.8; L/100km; 15000,30000,45000,60000; false; Full-size SUV; 1937; 5355; 2073; 3.5T V6; Automatic; 10; true; Gray; Gray; Chrome;
VIN25; Land Rover; Range Rover; 5; 11.9; L/100km; 15000,30000,45000,60000; false; Luxury SUV; 1870; 5052; 2073; 3.0L I6; Automatic; 8; true; Green; Black; Silver;
VIN26; Jeep; Wrangler; 4; 10.5; L/100km; 12000,24000,36000,48000; false; Off-road SUV; 1877; 4334; 1894; 3.6L V6; Manual; 6; true; Yellow; Black; Red;
VIN27; Ram; 1500; 5; 12.1; L/100km; 12000,24000,36000,48000; false; Pickup truck; 1943; 5817; 2027; 5.7L V8; Automatic; 8; true; White; White; Silver;
VIN28; Dodge; Charger; 4; 10.3; L/100km; 12000,24000,36000,48000; false; Sports sedan; 1475; 5082; 1905; 6.4L V8; Automatic; 8; true; Orange; Black; Red;
VIN29; Chrysler; 300; 4; 9.8; L/100km; 12000,24000,36000,48000; false; Full-size sedan; 1489; 5044; 1905; 3.6L V6; Automatic; 8; true; Silver; Black; Chrome;
VIN30; Buick; Enclave; 7; 10.7; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1789; 5169; 2007; 3.6L V6; Automatic; 9; true; Red; Black; Silver;
VIN31; GMC; Sierra; 5; 11.8; L/100km; 12000,24000,36000,48000; false; Pickup truck; 1940; 5785; 2027; 5.3L V8; Automatic; 8; true; Blue; Blue; Chrome;
VIN32; Toyota; Prius; 5; 4.2; L/100km; 15000,30000,45000,60000; false; Hybrid hatchback; 1470; 4540; 1760; 1.8L Hybrid; CVT; 1; true; White; White; Blue;
VIN33; Honda; Accord; 4; 7.1; L/100km; 10000,20000,30000,40000; false; Mid-size sedan; 1450; 4882; 1862; 1.5T I4; CVT; 1; true; Gray; Black; Silver;
VIN34; Nissan; Sentra; 4; 6.6; L/100km; 8000,16000,24000,32000; false; Compact sedan; 1427; 4625; 1771; 2.0L I4; CVT; 1; true; Blue; Silver; Black;
VIN35; Mazda; Mazda3; 4; 7.2; L/100km; 10000,20000,30000,40000; false; Compact car; 1435; 4662; 1797; 2.5L I4; Automatic; 6; true; Red; Black; Chrome;
VIN36; Subaru; Impreza; 5; 7.8; L/100km; 10000,20000,30000,40000; false; Compact car; 1480; 4625; 1775; 2.0L H4; CVT; 1; true; Orange; Black; Silver;
VIN37; Volkswagen; Passat; 4; 8.2; L/100km; 10000,20000,30000,40000; false; Mid-size sedan; 1456; 4948; 1832; 2.0T I4; Automatic; 6; true; Black; Black; Silver;
VIN38; Audi; Q5; 5; 9.1; L/100km; 15000,30000,45000,60000; false; Compact SUV; 1659; 4663; 1893; 2.0T I4; Automatic; 7; true; White; Black; Chrome;
VIN39; BMW; 3 Series; 4; 8.4; L/100km; 15000,30000,45000,60000; false; Sports sedan; 1429; 4709; 1827; 2.0T I4; Automatic; 8; true; Silver; Black; Red;
VIN40; Mercedes; GLE; 5; 10.2; L/100km; 15000,30000,45000,60000; false; Mid-size SUV; 1761; 4924; 2020; 3.0L I6; Automatic; 9; true; Gray; Black; Silver;
VIN41; Tesla; Model S; 5; 18.5; kWh/100km; 20000,40000,60000,80000; true; Electric sedan; 1445; 4979; 1964; Electric Motor; Single Speed; 1; true; Black; Black; Chrome;
VIN42; Lexus; ES; 4; 7.9; L/100km; 15000,30000,45000,60000; false; Mid-size sedan; 1447; 4975; 1866; 2.5L I4; Automatic; 6; true; Pearl; Silver; Gold;
VIN43; Acura; MDX; 7; 10.1; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1716; 4946; 1993; 3.5L V6; Automatic; 9; true; White; Black; Silver;
VIN44; Infiniti; QX60; 7; 9.8; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1742; 4991; 1960; 3.5L V6; CVT; 1; true; Blue; Silver; Chrome;
VIN45; Cadillac; XT5; 5; 9.7; L/100km; 15000,30000,45000,60000; false; Mid-size SUV; 1677; 4815; 1903; 2.0T I4; Automatic; 9; true; Red; Black; Silver;
VIN46; Lincoln; MKZ; 4; 8.6; L/100km; 12000,24000,36000,48000; false; Mid-size sedan; 1447; 4925; 1864; 2.0T I4; Automatic; 6; true; Silver; Black; Chrome;
VIN47; Volvo; S60; 4; 8.8; L/100km; 15000,30000,45000,60000; false; Sports sedan; 1431; 4761; 1850; 2.0T I4; Automatic; 8; true; Blue; Black; Silver;
VIN48; Genesis; G70; 4; 9.2; L/100km; 12000,24000,36000,48000; false; Sports sedan; 1400; 4685; 1850; 2.0T I4; Automatic; 8; true; Gray; Black; Red;
VIN49; Jaguar; F-PACE; 5; 10.5; L/100km; 15000,30000,45000,60000; false; Compact SUV; 1664; 4731; 2175; 2.0T I4; Automatic; 8; true; Green; Black; Silver;
VIN50; Land Rover; Discovery; 7; 11.8; L/100km; 15000,30000,45000,60000; false; Mid-size SUV; 1888; 4956; 2073; 3.0L V6; Automatic; 8; true; White; Silver; Chrome;
VIN51; Porsche; Cayenne; 5; 11.2; L/100km; 20000,40000,60000,80000; false; Mid-size SUV; 1696; 4918; 1983; 3.0T V6; Automatic; 8; true; Black; Black; Yellow;
VIN52; Maserati; Ghibli; 4; 11.8; L/100km; 15000,30000,45000,60000; false; Luxury sedan; 1461; 4971; 1945; 3.0T V6; Automatic; 8; true; Blue; Black; Silver;
VIN53; Alfa Romeo; Stelvio; 5; 10.4; L/100km; 15000,30000,45000,60000; false; Compact SUV; 1679; 4687; 1903; 2.0T I4; Automatic; 8; true; Red; Black; Carbon;
VIN54; Ferrari; 488; 2; 13.5; L/100km; 20000,40000,60000,80000; false; Sports car; 1213; 4568; 1952; 3.9T V8; Automatic; 7; true; Red; Black; Gold;
VIN55; Lamborghini; Huracan; 2; 14.2; L/100km; 15000,30000,45000,60000; false; Sports car; 1165; 4459; 1924; 5.2L V10; Automatic; 7; true; Yellow; Black; Carbon;
VIN56; McLaren; 720S; 2; 12.8; L/100km; 15000,30000,45000,60000; false; Sports car; 1196; 4543; 1930; 4.0T V8; Automatic; 7; true; Orange; Carbon; Black;
VIN57; Bentley; Continental; 4; 13.1; L/100km; 20000,40000,60000,80000; false; Luxury coupe; 1405; 4850; 1954; 6.0T W12; Automatic; 8; true; Green; Tan; Gold;
VIN58; Rolls-Royce; Ghost; 4; 14.8; L/100km; 20000,40000,60000,80000; false; Ultra luxury; 1571; 5546; 1948; 6.75T V12; Automatic; 8; true; Silver; Black; Chrome;
VIN59; Aston Martin; DB11; 2; 12.4; L/100km; 20000,40000,60000,80000; false; GT coupe; 1279; 4739; 2060; 5.2T V12; Automatic; 8; true; Gray; Black; Silver;
VIN60; Toyota; RAV4; 5; 8.1; L/100km; 10000,20000,30000,40000; false; Compact SUV; 1685; 4600; 1855; 2.5L I4; CVT; 1; true; White; Black; Silver;
VIN61; Honda; CR-V; 5; 8.4; L/100km; 10000,20000,30000,40000; false; Compact SUV; 1679; 4621; 1855; 1.5T I4; CVT; 1; true; Silver; Black; Chrome;
VIN62; Ford; Escape; 5; 8.6; L/100km; 12000,24000,36000,48000; false; Compact SUV; 1684; 4397; 1882; 1.5T I4; Automatic; 8; true; Blue; Silver; Black;
VIN63; Chevrolet; Equinox; 5; 8.8; L/100km; 10000,20000,30000,40000; false; Compact SUV; 1678; 4652; 1843; 1.5T I4; Automatic; 6; true; Red; Black; Silver;
VIN64; Nissan; Rogue; 5; 8.5; L/100km; 10000,20000,30000,40000; false; Compact SUV; 1687; 4648; 1839; 2.5L I4; CVT; 1; true; Gray; Black; Chrome;
VIN65; Hyundai; Tucson; 5; 8.7; L/100km; 12000,24000,36000,48000; false; Compact SUV; 1650; 4500; 1850; 2.5L I4; Automatic; 8; true; Black; Black; Silver;
VIN66; Kia; Sorento; 7; 9.2; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1695; 4810; 1900; 2.5T I4; Automatic; 8; true; White; Silver; Chrome;
VIN67; Jeep; Grand Cherokee; 5; 10.8; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1792; 4828; 1943; 3.6L V6; Automatic; 8; true; Green; Black; Silver;
VIN68; Ford; Explorer; 7; 11.2; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1778; 5049; 2004; 2.3T I4; Automatic; 10; true; Blue; Black; Chrome;
VIN69; Chevrolet; Traverse; 8; 10.5; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1786; 5207; 1977; 3.6L V6; Automatic; 9; true; Silver; Black; Silver;
VIN70; Toyota; Highlander; 8; 9.4; L/100km; 10000,20000,30000,40000; false; Mid-size SUV; 1730; 4950; 1930; 3.5L V6; Automatic; 8; true; Pearl; Silver; Chrome;
VIN71; Honda; Pilot; 8; 10.1; L/100km; 10000,20000,30000,40000; false; Mid-size SUV; 1773; 5028; 1996; 3.5L V6; Automatic; 9; true; White; Black; Silver;
VIN72; Subaru; Ascent; 8; 9.8; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1819; 5042; 1930; 2.4T H4; CVT; 1; true; Gray; Black; Chrome;
VIN73; Mazda; CX-9; 7; 10.3; L/100km; 12000,24000,36000,48000; false; Mid-size SUV; 1747; 5075; 1969; 2.5T I4; Automatic; 6; true; Red; Black; Silver;
VIN74; Volkswagen; Atlas; 7; 11.1; L/100km; 10000,20000,30000,40000; false; Mid-size SUV; 1778; 5037; 1979; 3.6L V6; Automatic; 8; true; Blue; Silver; Chrome;
VIN75; Acura; RDX; 5; 9.3; L/100km; 12000,24000,36000,48000; false; Compact SUV; 1679; 4751; 1918; 2.0T I4; Automatic; 10; true; Black; Black; Red;
VIN76; Infiniti; QX50; 5; 9.6; L/100km; 12000,24000,36000,48000; false; Compact SUV; 1658; 4693; 1903; 2.0T I4; CVT; 1; true; Silver; Black; Silver;
VIN77; Lexus; GX; 7; 14.1; L/100km; 15000,30000,45000,60000; false; Mid-size SUV; 1890; 4882; 1885; 4.6L V8; Automatic; 6; true; White; White; Gold;
VIN78; Cadillac; XT6; 7; 10.8; L/100km; 15000,30000,45000,60000; false; Mid-size SUV; 1759; 5050; 1964; 3.6L V6; Automatic; 9; true; Gray; Black; Chrome;
VIN79; Lincoln; Aviator; 7; 11.5; L/100km; 15000,30000,45000,60000; false; Mid-size SUV; 1751; 5080; 2011; 3.0T V6; Automatic; 10; true; Black; Black; Silver;
VIN80; Genesis; GV70; 5; 10.2; L/100km; 15000,30000,45000,60000; false; Compact SUV; 1715; 4715; 1910; 2.5T I4; Automatic; 8; true; Blue; Silver; Chrome;
VIN81; Tesla; Cybertruck; 6; 22.5; kWh/100km; 25000,50000,75000,100000; true; Electric pickup; 1790; 5885; 2200; Electric Motor; Single Speed; 1; true; Silver; Silver; Black;
VIN82; Rivian; R1T; 5; 24.2; kWh/100km; 25000,50000,75000,100000; true; Electric pickup; 1930; 5514; 2015; Electric Motor; Single Speed; 1; true; Green; Black; Silver;
VIN83; Ford; Mustang Mach-E; 5; 17.8; kWh/100km; 20000,40000,60000,80000; true; Electric SUV; 1624; 4713; 1881; Electric Motor; Single Speed; 1; true; Red; Black; Blue;
VIN84; Chevrolet; Bolt EV; 5; 16.9; kWh/100km; 20000,40000,60000,80000; true; Electric hatchback; 1616; 4166; 1765; Electric Motor; Single Speed; 1; true; Orange; Black; Silver;
VIN85; Nissan; Leaf; 5; 17.2; kWh/100km; 15000,30000,45000,60000; true; Electric hatchbook; 1540; 4490; 1788; Electric Motor; Single Speed; 1; true; White; White; Blue;
VIN86; Hyundai; Ioniq 5; 5; 18.0; kWh/100km; 20000,40000,60000,80000; true; Electric SUV; 1605; 4635; 1890; Electric Motor; Single Speed; 1; true; Silver; Black; Lime;
VIN87; Kia; EV6; 5; 17.5; kWh/100km; 20000,40000,60000,80000; true; Electric crossover; 1550; 4695; 1890; Electric Motor; Single Speed; 1; true; Yellow; Black; Red;
VIN88; Polestar; 2; 5; 19.2; kWh/100km; 20000,40000,60000,80000; true; Electric fastback; 1479; 4606; 1859; Electric Motor; Single Speed; 1; true; Gray; Black; Gold;
VIN89; Lucid; Air; 5; 16.2; kWh/100km; 25000,50000,75000,100000; true; Electric sedan; 1415; 4975; 1939; Electric Motor; Single Speed; 1; true; White; Glass; Silver;
VIN90; BMW; iX; 5; 20.8; kWh/100km; 20000,40000,60000,80000; true; Electric SUV; 1696; 4953; 1967; Electric Motor; Single Speed; 1; true; Blue; Black; Copper;
VIN91; Mercedes; EQS; 5; 17.8; kWh/100km; 20000,40000,60000,80000; true; Electric sedan; 1512; 5216; 1926; Electric Motor; Single Speed; 1; true; Black; Black; Chrome;
VIN92; Audi; e-tron GT; 4; 19.6; kWh/100km; 20000,40000,60000,80000; true; Electric GT; 1396; 4989; 1964; Electric Motor; Single Speed; 1; true; Red; Carbon; Silver;
VIN93; Jaguar; I-PACE; 5; 22.0; kWh/100km; 20000,40000,60000,80000; true; Electric SUV; 1565; 4682; 2011; Electric Motor; Single Speed; 1; true; Blue; Black; Chrome;
VIN94; Volvo; XC40 Recharge; 5; 20.3; kWh/100km; 20000,40000,60000,80000; true; Electric SUV; 1652; 4425; 1863; Electric Motor; Single Speed; 1; true; Orange; Black; Silver;
VIN95; Cadillac; Lyriq; 5; 18.7; kWh/100km; 20000,40000,60000,80000; true; Electric SUV; 1615; 4996; 1977; Electric Motor; Single Speed; 1; true; Pearl; Black; Gold;
VIN96; Genesis; Electrified GV70; 5; 19.8; kWh/100km; 20000,40000,60000,80000; true; Electric SUV; 1715; 4715; 1910; Electric Motor; Single Speed; 1; true; Silver; Silver; Blue;
VIN97; Mini; Cooper SE; 4; 16.8; kWh/100km; 15000,30000,45000,60000; true; Electric hatchback; 1432; 3845; 1727; Electric Motor; Single Speed; 1; true; Green; White; Black;
VIN98; Fiat; 500e; 4; 14.9; kWh/100km; 15000,30000,45000,60000; true; Electric city car; 1527; 3632; 1683; Electric Motor; Single Speed; 1; true; Yellow; Yellow; Chrome;
VIN99; Smart; EQS; 2; 15.2; kWh/100km; 15000,30000,45000,60000; true; Electric city car; 1555; 2695; 1663; Electric Motor; Single Speed; 1; true; Red; Black; Silver;
VIN100; Mitsubishi; Outlander PHEV; 7; 8.4; L/100km; 12000,24000,36000,48000; false; Plug-in hybrid; 1710; 4695; 1800; 2.4L Hybrid; CVT; 1; true; White; Black; Blue;
